0.0359,0.6271,-0.5290,0.1403,0.0591,0.0483
0.0550,0.8056,-0.0700,0.1663,0.0179,0.0020
0.0367,0.5749,-0.1558,0.0138,0.0839,0.1334
-0.1636,0.4745,0.4330,-0.3864,0.0118,0.0297
-0.0714,0.3937,0.5060,-0.2969,0.0308,0.0265
,,,,,
-0.0428,0.7132,-0.5104,0.0248,0.0046,-0.0824
-0.0347,-0.3313,0.1357,0.3028,-0.0301,-0.0077
-0.1747,0.7829,-0.1481,-0.1449,-0.0373,0.0222
-0.0392,0.4037,0.5580,-0.3738,-0.0518,0.0083
-0.2183,0.3379,0.4881,-0.2328,-0.0364,-0.0834
,,,,,
0.0753,0.8795,-0.3546,-0.1388,-0.1113,-0.0122
-0.0852,-0.3452,0.0410,-0.3275,-0.0090,0.0448
-0.0524,0.8345,-0.1565,-0.2183,-0.0882,0.0607
0.0494,0.4053,0.4138,-0.5034,-0.0496,0.0165
0.0088,0.3854,0.3446,-0.2885,-0.0283,-0.0249
,,,,,
-0.0236,0.7994,-0.4176,-0.0456,-0.0736,-0.0897
-0.0177,0.5972,0.0618,0.0831,-0.0096,-0.0109
-0.0644,0.7380,-0.1456,-0.0871,-0.0374,0.0544
-0.1265,0.4783,0.5552,-0.3890,-0.0253,-0.0305
-0.1922,0.2164,0.4758,-0.2428,-0.0051,-0.0632
